time,flux,flux_err
1415.994141,0.99005,0.220907
1416.063965,0.990155,0.234254
1416.137207,0.99029,0.242625
1416.206055,0.990422,0.219906
1416.278442,0.990644,0.23328
1416.338501,0.990687,0.245141
1416.386963,0.991114,0.197235
1416.491577,0.990764,0.234457
1416.561768,0.991079,0.22885
1416.634277,0.991538,0.233289
1416.704468,0.991584,0.233426
1416.773193,0.991658,0.234621
1416.820679,0.99118,0.203836
1417.545166,0.991428,0.237545
1417.619507,0.990706,0.222676
1417.685059,0.990225,0.228819
1417.758179,0.989238,0.222105
1417.8302,0.988178,0.228786
1417.892822,0.987855,0.223596
1417.9646,0.986741,0.228258
1418.038818,0.985672,0.237284
1418.107666,0.984733,0.227102
1418.155396,0.983783,0.195363
1418.253784,0.982928,0.213283
1418.317383,0.982065,0.216419
1418.390259,0.980469,0.222898
1418.458862,0.979456,0.230526
1418.535767,0.978464,0.210352
1418.598511,0.977245,0.210248
1418.683716,0.97539,0.197178
1418.740234,0.974396,0.222024
1418.81189,0.973882,0.221912
1418.886597,0.97257,0.236906
1418.947998,0.971257,0.225673
1419.024536,0.969598,0.212454
1419.095215,0.968755,0.238897
1419.165405,0.968694,0.21335
1419.240723,0.967924,0.225046
1419.30835,0.967255,0.231463
1419.381226,0.966038,0.221589
1419.459229,0.96569,0.230857
1419.521606,0.965002,0.237508
1419.583618,0.964308,0.231996
1419.659302,0.963514,0.222707
1419.728638,0.962842,0.231017
1419.799561,0.962478,0.235447
1419.871216,0.962339,0.229291
1419.938232,0.962265,0.239782
1420.008789,0.961815,0.221796
1420.082153,0.961999,0.232849
1420.148804,0.962987,0.236697
1420.219238,0.963412,0.230746
1420.289673,0.963912,0.22998
1420.359741,0.964575,0.22768
1420.401611,0.965029,0.197552
1420.506592,0.966181,0.228575
1420.571167,0.967289,0.22641
1420.640381,0.968257,0.220312
1420.708862,0.96899,0.225202
1420.781494,0.970644,0.221907
1420.847168,0.971972,0.220508
1420.924683,0.973835,0.229351
1420.994019,0.974967,0.227545
1421.063599,0.976501,0.219651
1421.136475,0.97795,0.229237
1421.206299,0.979507,0.226074
1421.272583,0.980511,0.202059
1421.346558,0.981589,0.224407
1421.415894,0.983435,0.229989
1421.489014,0.984714,0.214853
1421.558105,0.985982,0.223326
1421.626587,0.98666,0.217326
1421.694702,0.988055,0.213653
1421.768555,0.989559,0.22429
1421.823975,0.990258,0.207231
1421.907837,0.991652,0.228593
1421.979004,0.99257,0.215829
1422.046753,0.993835,0.216048
1422.107056,0.994612,0.219662
1422.19397,0.99573,0.223446
